genres,1970-1980,1980-1990,1990-2000,2000-2010,2010-2020,total
Morocco,1,1,3,10,0,15
Punk,1,1,6,6,1,15
Software,3,2,4,5,1,15
Transgender,0,0,3,3,9,15
Vegan,2,1,1,9,2,15
Wicca,2,1,2,10,0,15
15th Century,0,5,2,6,1,14
40k,0,0,2,8,4,14
Culinary,0,0,3,8,3,14
Discipleship,4,4,2,3,1,14
Food and Drink,0,1,2,8,3,14
Genetics,1,2,4,7,0,14
Illness,0,1,4,2,7,14
Lds Non Fiction,4,0,4,5,1,14
M F M,0,0,0,8,6,14
Music Biography,0,4,4,6,0,14
Nigeria,2,0,1,8,3,14
Psychiatry,1,2,6,5,0,14
Road Trip,0,2,0,1,11,14
Robots,1,7,2,2,2,14
Rwanda,0,0,2,11,1,14
Social Work,0,3,3,4,4,14
X Men,0,4,0,10,0,14
Cartoon,1,2,5,5,0,13
Diets,1,1,1,10,0,13
Divorce,1,0,2,5,5,13
Interracial Romance,0,0,0,8,5,13
Judaica,1,5,3,3,1,13
M M F,0,0,1,8,4,13
Mormonism,4,2,0,6,1,13
Naval Historical Fiction,7,5,1,0,0,13
Poetry Plays,4,2,3,2,2,13
Shounen Ai,0,0,2,8,3,13
12th Century,0,0,6,4,2,12
13th Century,5,3,2,1,1,12
Cult Classics,0,2,2,3,5,12
Cultural Studies,2,2,5,3,0,12
Fan Fiction,0,0,0,2,10,12
Gothic Romance,7,3,1,1,0,12
M M Contemporary,0,0,0,5,7,12
Manga Romance,0,0,0,8,4,12
Naval History,0,2,2,7,1,12
Old Testament,2,0,2,6,2,12
Reverse Harem,0,0,0,1,11,12
Teachers,0,0,5,5,2,12
Time Travel Romance,0,1,1,3,7,12
Us Presidents,4,2,3,3,0,12
14th Century,4,3,1,2,1,11
Algeria,0,1,3,3,4,11
Anarchism,1,2,3,3,2,11
Botswana,0,1,2,8,0,11
Bulgarian Literature,2,6,2,1,0,11
Category Romance,2,2,1,0,6,11
Cinderella,0,0,2,2,7,11
Cthulhu Mythos,1,2,5,3,0,11
Microhistory,0,1,2,7,1,11
Plantagenet,1,4,1,3,2,11
Princesses,0,0,2,4,5,11
Scripture,2,2,1,5,1,11
Serbian Literature,1,7,1,0,2,11
Surreal,4,2,3,1,1,11
The World,2,2,3,2,2,11
Banks,0,3,4,2,1,10
Church History,1,2,0,5,2,10
Emotion,3,2,4,1,0,10
Folk Tales,3,4,1,2,0,10
Hockey,0,1,1,1,7,10
Superman,0,1,1,7,1,10
Taoism,2,2,3,2,1,10
Trivia,0,2,1,5,2,10
Young Adult Science Fiction,0,0,2,1,7,10
Agriculture,2,0,1,3,3,9
Astrology,0,2,4,2,1,9
Climate Change,0,0,0,4,5,9
Cults,2,0,3,3,1,9
Esoterica,2,3,0,2,2,9
Food Writing,0,1,1,5,2,9
Futurism,1,0,2,2,4,9
Guides,0,0,1,5,3,9
Hackers,0,2,1,2,4,9
Horse Racing,2,2,4,0,1,9
Internet,0,1,2,2,4,9
Kenya,1,1,2,4,1,9
Mountaineering,0,1,3,5,0,9
Queer Lit,1,2,1,4,1,9
Role Playing Games,0,2,3,4,0,9
Webcomic,0,0,0,7,2,9
Wilderness,1,1,2,5,0,9
Wildlife,0,1,0,6,2,9
African American Romance,0,0,1,5,2,8
Cycling,1,0,2,2,3,8
Human Development,0,2,1,4,1,8
